Date,LastPrice
,
,
31/01/1989,0.5323
28/02/1989,0.5485
31/03/1989,0.5273
28/04/1989,0.5319
31/05/1989,0.5061
30/06/1989,0.5116
31/07/1989,0.5360
31/08/1989,0.5107
29/09/1989,0.5340
31/10/1989,0.5431
30/11/1989,0.5618
29/12/1989,0.5919
31/01/1990,0.5924
28/02/1990,0.5894
30/03/1990,0.5923
30/04/1990,0.5956
31/05/1990,0.5886
29/06/1990,0.6003
31/07/1990,0.6299
31/08/1990,0.6345
28/09/1990,0.6384
31/10/1990,0.6598
30/11/1990,0.6667
31/12/1990,0.6680
31/01/1991,0.6764
28/02/1991,0.6553
29/03/1991,0.5891
30/04/1991,0.5819
31/05/1991,0.5748
28/06/1991,0.5513
31/07/1991,0.5726
30/08/1991,0.5719
30/09/1991,0.6015
31/10/1991,0.5995
29/11/1991,0.6146
31/12/1991,0.6579
31/01/1992,0.6221
28/02/1992,0.6108
31/03/1992,0.6073
30/04/1992,0.6051
29/05/1992,0.6225
30/06/1992,0.6562
31/07/1992,0.6781
31/08/1992,0.7127
30/09/1992,0.7082
30/10/1992,0.6491
30/11/1992,0.6288
31/12/1992,0.6168
29/01/1993,0.6208
26/02/1993,0.6076
31/03/1993,0.6223
30/04/1993,0.6307
31/05/1993,0.6289
30/06/1993,0.5853
30/07/1993,0.5741
31/08/1993,0.5966
30/09/1993,0.6118
29/10/1993,0.5924
30/11/1993,0.5826
31/12/1993,0.5751
31/01/1994,0.5765
28/02/1994,0.5867
31/03/1994,0.5973
29/04/1994,0.6046
31/05/1994,0.6073
30/06/1994,0.6297
29/07/1994,0.6313
31/08/1994,0.6323
30/09/1994,0.6451
31/10/1994,0.6652
30/11/1994,0.6372
30/12/1994,0.6454
31/01/1995,0.6561
28/02/1995,0.6838
31/03/1995,0.7289
28/04/1995,0.7199
31/05/1995,0.7065
30/06/1995,0.7244
31/07/1995,0.7212
31/08/1995,0.6814
29/09/1995,0.7005
31/10/1995,0.7101
30/11/1995,0.6917
29/12/1995,0.6955
31/01/1996,0.6718
29/02/1996,0.6789
29/03/1996,0.6774
30/04/1996,0.6526
31/05/1996,0.6568
28/06/1996,0.6561
31/07/1996,0.6794
30/08/1996,0.6752
30/09/1996,0.6561
31/10/1996,0.6591
29/11/1996,0.6496
31/12/1996,0.6487
31/01/1997,0.6107
28/02/1997,0.5916
31/03/1997,0.5961
30/04/1997,0.5781
30/05/1997,0.5860
30/06/1997,0.5731
31/07/1997,0.5436
29/08/1997,0.5532
30/09/1997,0.5678
31/10/1997,0.5792
28/11/1997,0.5666
31/12/1997,0.5560
31/01/1998,0.5465
27/02/1998,0.5508
31/03/1998,0.5412
30/04/1998,0.5572
29/05/1998,0.5597
30/06/1998,0.5533
31/07/1998,0.5627
31/08/1998,0.5724
30/09/1998,0.5994
30/10/1998,0.6046
30/11/1998,0.5905
31/12/1998,0.6000
31/01/1999,0.5809
26/02/1999,0.5639
31/03/1999,0.5503
30/04/1999,0.5404
31/05/1999,0.5328
30/06/1999,0.5293
30/07/1999,0.5475
31/08/1999,0.5403
30/09/1999,0.5466
29/10/1999,0.5393
30/11/1999,0.5158
31/12/1999,0.5144
31/01/2000,0.4963
