Date,LastPrice
,
,
29/12/1989,6.2
31/01/1990,7.42
28/02/1990,7.68
30/03/1990,8.16
30/04/1990,7.59
31/05/1990,7.33
29/06/1990,7.52
31/07/1990,7.53
31/08/1990,7.53
28/09/1990,7.07
31/10/1990,6.74
30/11/1990,6.76
31/12/1990,5.995
31/01/1991,5.85
28/02/1991,5.63
29/03/1991,5.99
30/04/1991,5.54
31/05/1991,5.13
28/06/1991,5.2
31/07/1991,5.57
30/08/1991,5.38
30/09/1991,5.07
31/10/1991,4.79
29/11/1991,4.11
31/12/1991,4.01
31/01/1992,3.59
28/02/1992,3.9
31/03/1992,4.1
30/04/1992,3.5
29/05/1992,3.645
30/06/1992,3.515
31/07/1992,3.095
31/08/1992,3.025
30/09/1992,2.695
30/10/1992,2.825
30/11/1992,2.725
31/12/1992,2.935
29/01/1993,2.865
26/02/1993,2.725
31/03/1993,2.805
30/04/1993,2.865
31/05/1993,2.965
30/06/1993,2.865
30/07/1993,2.915
31/08/1993,2.925
30/09/1993,2.76
29/10/1993,2.845
30/11/1993,2.82
31/12/1993,2.865
31/01/1994,2.865
28/02/1994,2.915
31/03/1994,3.325
29/04/1994,3.62
31/05/1994,3.82
30/06/1994,3.46
29/07/1994,3.96
31/08/1994,4.39
30/09/1994,4.49
31/10/1994,4.355
30/11/1994,4.915
30/12/1994,4.8
31/01/1995,5.29
28/02/1995,5.04
31/03/1995,5.8
28/04/1995,5.77
31/05/1995,5.67
30/06/1995,5.335
31/07/1995,5.475
31/08/1995,5.315
29/09/1995,5.415
31/10/1995,5.005
30/11/1995,5.455
29/12/1995,4.625
31/01/1996,4.845
29/02/1996,4.735
29/03/1996,5.245
30/04/1996,4.945
31/05/1996,5.085
28/06/1996,4.865
31/07/1996,5.035
30/08/1996,5.085
30/09/1996,4.995
31/10/1996,4.935
29/11/1996,4.915
31/12/1996,4.945
31/01/1997,4.985
28/02/1997,4.765
31/03/1997,5.095
30/04/1997,4.965
30/05/1997,4.755
30/06/1997,4.875
31/07/1997,5.125
29/08/1997,5.075
30/09/1997,4.795
31/10/1997,4.882
28/11/1997,4.948
31/12/1997,5.087
30/01/1998,4.916
27/02/1998,4.964
31/03/1998,5.331
30/04/1998,4.788
29/05/1998,4.619
30/06/1998,4.725
31/07/1998,4.794
31/08/1998,4.685
30/09/1998,4.328
30/10/1998,3.455
30/11/1998,3.635
31/12/1998,4.295
29/01/1999,4.342
26/02/1999,4.213
31/03/1999,4.631
30/04/1999,4.408
31/05/1999,4.322
30/06/1999,4.142
30/07/1999,4.341
31/08/1999,4.425
30/09/1999,4.328
29/10/1999,4.342
30/11/1999,4.515
31/12/1999,4.836
31/01/2000,5.278
29/02/2000,5.235
31/03/2000,5.783
28/04/2000,5.274
31/05/2000,4.576
30/06/2000,5.415
31/07/2000,5.794
31/08/2000,5.961
29/09/2000,5.765
31/10/2000,5.945
30/11/2000,5.829
29/12/2000,5.584
31/01/2001,4.695
28/02/2001,4.755
30/03/2001,4.446
30/04/2001,3.746
31/05/2001,3.324
29/06/2001,3.312
31/07/2001,3.595
31/08/2001,2.744
28/09/2001,2.351
31/10/2001,2.109
30/11/2001,1.775
31/12/2001,1.648
