Date,LastPrice
31.1.1985,227.34
28.2.1985,222.69
29.3.1985,227.23
30.4.1985,231.93
31.5.1985,244.05
28.6.1985,246.63
31.7.1985,245.77
30.8.1985,250.39
30.9.1985,251.90
31.10.1985,257.18
29.11.1985,263.36
31.12.1985,271.41
31.1.1986,272.92
28.2.1986,283.68
31.3.1986,292.49
30.4.1986,294.04
30.5.1986,288.42
30.6.1986,295.97
31.7.1986,298.59
29.8.1986,306.01
30.9.1986,302.99
31.10.1986,307.37
28.11.1986,311.67
31.12.1986,312.84
30.1.1987,317.25
27.2.1987,319.45
31.3.1987,318.01
30.4.1987,309.29
29.5.1987,308.08
30.6.1987,312.32
31.7.1987,312.08
31.8.1987,310.41
30.9.1987,303.80
30.10.1987,314.62
30.11.1987,317.14
31.12.1987,321.46
29.1.1988,332.76
29.2.1988,336.71
31.3.1988,333.55
29.4.1988,331.75
31.5.1988,329.52
30.6.1988,337.47
29.7.1988,335.70
31.8.1988,336.58
30.9.1988,344.20
31.10.1988,350.68
30.11.1988,346.42
30.12.1988,346.81
31.1.1989,351.80
28.2.1989,349.25
31.3.1989,350.76
28.4.1989,358.10
31.5.1989,367.51
30.6.1989,378.70
31.7.1989,386.75
31.8.1989,381.02
29.9.1989,382.97
31.10.1989,392.40
30.11.1989,396.14
29.12.1989,397.20
31.1.1990,392.48
28.2.1990,393.75
30.3.1990,394.04
30.4.1990,390.43
31.5.1990,401.99
29.6.1990,408.44
31.7.1990,414.09
31.8.1990,408.56
28.9.1990,411.94
31.10.1990,417.17
30.11.1990,426.15
31.12.1990,432.79
31.1.1991,438.14
28.2.1991,441.88
29.3.1991,444.92
30.4.1991,449.74
31.5.1991,452.37
28.6.1991,452.14
31.7.1991,458.41
30.8.1991,468.33
30.9.1991,477.82
31.10.1991,483.14
29.11.1991,487.57
31.12.1991,502.05
31.1.1992,495.22
28.2.1992,498.44
31.3.1992,495.63
30.4.1992,499.21
29.5.1992,508.63
30.6.1992,515.63
31.7.1992,526.15
31.8.1992,531.48
30.9.1992,537.79
30.10.1992,530.65
30.11.1992,530.77
31.12.1992,539.21
29.1.1993,549.55
26.2.1993,559.17
31.3.1993,561.50
30.4.1993,565.41
31.5.1993,566.13
30.6.1993,576.39
30.7.1993,579.65
31.8.1993,589.81
30.9.1993,591.43
29.10.1993,593.64
30.11.1993,588.59
31.12.1993,591.78
31.1.1994,599.77
28.2.1994,589.35
31.3.1994,574.82
29.4.1994,570.23
31.5.1994,570.15
30.6.1994,568.89
29.7.1994,580.19
31.8.1994,580.19
30.9.1994,572.36
31.10.1994,571.85
30.11.1994,570.58
30.12.1994,574.52
31.1.1995,585.89
28.2.1995,599.82
31.3.1995,603.3
28.4.1995,611.93
31.5.1995,635.61
30.6.1995,640.27
31.7.1995,638.84
31.8.1995,646.55
29.9.1995,652.84
31.10.1995,661.33
30.11.1995,671.24
29.12.1995,680.66
31.1.1996,685.18
29.2.1996,673.27
29.3.1996,668.59
30.4.1996,664.83
31.5.1996,663.48
28.6.1996,672.39
31.7.1996,674.23
30.8.1996,673.1
30.9.1996,684.83
29.10.1996,700
29.11.1996,711.99
31.12.1996,705.37
31.1.1997,707.53
28.2.1997,709.29
31.3.1997,701.43
30.4.1997,711.93
30.5.1997,718.66
30.6.1997,727.19
31.7.1997,746.8
29.8.1997,740.43
30.9.1997,751.35
31.10.1997,762.25
28.11.1997,765.76
31.12.1997,773.47
30.1.1998,783.4
27.2.1998,782.81
30.3.1998,783.4
30.4.1998,789.6
29.5.1998,797.09
30.6.1998,803.85
