Date,LastPrice
1993-01-29,110.64
1993-02-26,113.37
1993-03-31,113.89
1993-04-30,114.86
1993-05-31,114.72
1993-06-30,118.17
1993-07-30,118.55
1993-08-31,121.55
1993-09-30,122.47
1993-10-29,122.82
1993-11-30,120.76
1993-12-31,121.38
1994-01-31,123.31
1994-02-28,119.71
1994-03-31,115.61
1994-04-29,114.60
1994-05-31,114.47
1994-06-30,113.83
1994-07-29,116.38
1994-08-31,116.61
1994-09-30,114.15
1994-10-31,113.67
1994-11-30,113.48
1994-12-30,114.40
1995-01-31,116.88
1995-02-28,120.32
1995-03-31,121.00
1995-04-28,123.09
1995-05-31,129.59
1995-06-30,130.85
1995-07-31,129.83
1995-08-31,131.64
1995-09-29,133.22
1995-10-31,135.53
1995-11-30,138.21
1995-12-29,140.46
1996-01-31,141.25
1996-02-29,137.37
1996-03-29,135.80
1996-04-30,134.18
1996-05-31,133.48
1996-06-28,135.60
1996-07-31,135.74
1996-08-30,135.17
1996-09-30,138.00
1996-10-31,141.82
1996-11-29,145.13
1996-12-31,142.58
1997-01-31,142.64
1997-02-28,142.65
1997-03-31,140.19
1997-04-30,142.69
1997-05-30,144.15
1997-06-30,145.77
1997-07-31,150.85
1997-08-29,148.68
1997-09-30,151.34
1997-10-31,154.52
1997-11-28,155.16
1997-12-31,156.75
1998-01-30,159.85
1998-02-27,159.04
1998-03-31,159.31
1998-04-30,160.04
1998-05-29,161.70
1998-06-30,163.55
1998-07-31,163.93
1998-08-31,169.74
1998-09-30,177.69
1998-10-30,176.32
1998-11-30,175.04
1998-12-31,176.12
1999-01-29,176.89
1999-02-26,170.73
1999-03-31,171.53
1999-04-30,171.87
1999-05-31,168.94
1999-06-30,168.32
1999-07-30,167.75
1999-08-31,167.47
1999-09-30,169.13
1999-10-29,169.06
1999-11-30,168.64
1999-12-31,166.74
2000-01-31,165.72
2000-02-29,167.56
2000-03-31,172.36
2000-04-28,171.31
2000-05-31,171.89
2000-06-30,175.52
2000-07-31,176.82
2000-08-31,179.72
2000-09-29,180.61
2000-10-31,182.27
2000-11-30,186.87
2000-12-29,191.31
2001-01-31,192.83
2001-02-28,195.38
2001-03-30,196.57
2001-04-30,193.26
2001-05-31,193.66
2001-06-29,194.56
2001-07-31,200.19
2001-08-31,202.68
2001-09-28,207.70
2001-10-31,212.95
2001-11-30,207.31
2001-12-31,204.35
2002-01-31,205.61
2002-02-28,207.90
2002-03-29,201.87
2002-04-30,207.50
2002-05-31,209.55
2002-06-28,213.42
2002-07-31,219.84
2002-08-30,225.22
2002-09-30,233.83
2002-10-31,230.73
2002-11-29,226.48
2002-12-31,233.97
2003-01-31,232.44
2003-02-28,237.59
2003-03-31,236.45
2003-04-30,236.89
2003-05-30,245.89
2003-06-30,243.78
2003-07-31,229.94
2003-08-29,231.28
2003-09-30,240.71
2003-10-31,235.85
2003-11-28,236.26
2003-12-31,238.36
2004-01-30,241.00
2004-02-27,244.84
2004-03-31,248.09
2004-04-30,237.40
2004-05-31,235.95
2004-06-30,237.40
2004-07-30,240.53
2004-08-31,247.17
2004-09-30,248.03
2004-10-29,250.47
2004-11-30,245.72
2004-12-31,248.88
2005-01-31,250.65
2005-02-28,247.50
2005-03-31,246.15
2005-04-29,252.21
2005-05-31,256.24
2005-06-30,257.76
2005-07-29,252.83
2005-08-31,257.84
2005-09-30,253.38
2005-10-31,250.39
2005-11-30,251.85
2005-12-30,254.92
2006-01-31,253.46
2006-02-28,253.26
2006-03-31,249.73
2006-04-28,248.20
2006-05-31,247.97
2006-06-30,248.75
2006-07-31,252.62
2006-08-31,257.33
2006-09-29,260.26
2006-10-31,261.76
2006-11-30,265.16
2006-12-29,261.74
2007-01-31,260.78
2007-02-28,266.36
2007-03-30,265.99
2007-04-30,267.54
2007-05-31,263.61
2007-06-29,262.40
2007-07-31,268.07
2007-08-31,273.82
2007-09-28,274.77
2007-10-31,277.79
2007-11-30,288.27
2007-12-31,288.43
2008-01-31,298.12
2008-02-29,302.23
2008-03-31,306.24
2008-04-30,298.86
2008-05-30,293.70
2008-06-30,296.54
2008-07-31,298.29
2008-08-29,303.35
2008-09-30,303.25
2008-10-31,299.48
2008-11-28,323.41
2008-12-31,340.26
2009-01-30,326.92
2009-02-27,324.33
2009-03-31,335.73
2009-04-30,326.52
2009-05-29,319.90
2009-06-30,318.81
2009-07-31,320.86
2009-08-31,323.89
2009-09-30,327.42
2009-10-30,327.22
2009-11-30,333.76
2009-12-31,319.74
2010-01-29,326.83
2010-02-26,328.78
2010-03-31,324.62
2010-04-30,329.91
2010-05-31,339.23
2010-06-30,349.75
2010-07-30,353.54
2010-08-31,365.40
2010-09-30,365.44
2010-10-29,365.22
2010-11-30,362.19
2010-12-31,349.70
2011-01-31,349.81
2011-02-28,349.09
2011-03-31,348.96
2011-04-29,354.49
2011-05-31,363.66
2011-06-30,362.21
2011-07-29,373.14
2011-08-31,391.32
2011-09-30,398.84
2011-10-31,393.25
2011-11-30,397.30
2011-12-30,404.24
2012-01-31,408.00
2012-02-29,404.09
2012-03-30,397.65
2012-04-30,407.72
2012-05-31,419.01
2012-06-29,417.30
2012-07-31,422.98
2012-08-31,422.53
2012-09-28,421.58
2012-10-31,420.24
2012-11-30,424.47
2012-12-31,421.05
2013-01-31,414.62
2013-02-28,419.23
2013-03-29,421.06
2013-04-30,427.08
2013-05-31,413.47
2013-06-28,403.48
2013-07-31,401.82
2013-08-30,397.36
2013-09-30,403.46
2013-10-31,407.01
2013-11-29,403.37
2013-12-31,395.61
2014-01-31,406.24
2014-02-28,408.36
2014-03-31,406.07
2014-04-30,409.41
2014-05-30,417.18
2014-06-30,416.18
2014-07-31,414.98
2014-08-29,422.66
2014-09-30,418.13
2014-10-31,424.92
2014-11-28,430.43
2014-12-31,431.20
2015-01-30,448.71
2015-02-27,438.34
2015-03-31,442.13
2015-04-30,439.43
2015-05-29,438.61
2015-06-30,431.38
2015-07-31,436.65
2015-08-31,437.78
2015-09-30,444.22
2015-10-30,441.54
2015-11-30,439.68
2015-12-31,438.24
2016-01-29,452.08
2016-02-29,458.83
2016-03-31,458.72
2016-04-29,458.36
2016-05-31,457.95
2016-06-30,471.37
2016-07-29,472.88
2016-08-31,468.80
2016-09-30,468.93
2016-10-31,462.24
2016-11-30,443.62
2016-12-30,442.86
2017-01-31,443.50
2017-02-28,446.90
2017-03-31,447.04
2017-04-28,452.07
2017-05-31,455.99
2017-06-30,453.30
2017-07-31,455.02
2017-08-31,461.69
2017-09-29,455.34
2017-10-31,454.51
2017-11-30,453.21
2017-12-29,454.17
2018-01-31,444.34
2018-02-28,440.20
2018-03-30,445.70
2018-04-30,440.17
2018-05-31,444.98
2018-06-29,445.24
2018-07-31,442.66
2018-08-31,447.57
2018-09-28,441.71
2018-10-31,440.10
2018-11-30,446.09
2018-12-31,458.27
2019-01-31,461.68
2019-02-28,459.87
2019-03-29,471.41
2019-04-30,469.38
2019-05-31,483.40
2019-06-28,490.04
2019-07-31,489.54
2019-08-30,508.97
2019-09-30,503.39
2019-10-31,504.20
2019-11-29,500.90
2019-12-31,497.20
2020-01-31,513.19
2020-02-28,529.37
2020-03-31,547.65
2020-04-30,551.21
2020-05-29,552.24
2020-06-30,552.54
2020-07-31,557.34
2020-08-31,552.69
2020-09-30,554.08
2020-10-30,546.88
2020-11-30,548.35
2020-12-31,546.81
2021-01-29,540.89
2021-02-26,528.23
2021-03-31,515.42
2021-04-30,520.62
2021-05-31,523.82
2021-06-30,528.32
2021-07-30,538.92
2021-08-31,536.77
2021-09-30,528.24
2021-10-29,525.90
2021-11-30,531.64
2021-12-31,530.01
2022-01-31,517.54
2022-02-28,515.85
2022-03-31,494.97
2022-04-29,474.26
2022-05-31,477.54
2022-06-30,472.88
2022-07-29,487.37
2022-08-31,468.71
2022-09-30,446.73
2022-10-31,440.38
2022-11-30,456.17
2022-12-30,451.08
2023-01-31,465.45
2023-02-28,450.44
2023-03-31,467.00
2023-04-28,471.02
2023-05-31,464.20
2023-06-30,458.37
2023-07-31,455.55
2023-08-31,452.18
2023-09-29,438.12
2023-10-31,429.71
2023-11-30,449.22
2023-12-29,467.25
2024-01-31,466.50
2024-02-29,456.87
2024-03-29,460.57
2024-04-30,446.04
2024-05-31,454.11
2024-06-28,459.86
2024-07-31,473.17
2024-08-30,479.78
2024-09-30,486.24
2024-10-31,470.02
2024-11-29,474.58
2024-12-31,463.97
2025-01-31,467.07
2025-02-28,480.20
2025-03-31,482.00
2025-04-30,486.93
2025-05-30,481.19
2025-06-30,488.77
2025-07-31,485.90
2025-08-29,494.03
2025-09-30,497.36
2025-10-31,500.78
2025-11-28,505.87
2025-12-31,502.93
2026-01-30,500.88
2026-02-27,513.39
