LT09TRUUW
Date,LastPrice
,
,
04/07/1997,147.62
11/07/1997,148.4
18/07/1997,148.51
25/07/1997,149.27
01/08/1997,149.29
08/08/1997,147.85
15/08/1997,148.9
22/08/1997,148.17
29/08/1997,148.68
05/09/1997,148.63
12/09/1997,149.43
19/09/1997,151.33
26/09/1997,151.5
03/10/1997,152.39
10/10/1997,151.24
17/10/1997,151.25
24/10/1997,152.8
31/10/1997,154.52
07/11/1997,154.15
14/11/1997,154.65
21/11/1997,155.29
28/11/1997,155.16
05/12/1997,154.81
12/12/1997,156.48
19/12/1997,156.85
26/12/1997,156.79
02/01/1998,157.64
09/01/1998,160.57
16/01/1998,159.4
23/01/1998,158.05
30/01/1998,159.85
06/02/1998,159.11
13/02/1998,159.95
20/02/1998,159.76
27/02/1998,159.04
06/03/1998,158.15
13/03/1998,159.73
20/03/1998,160.0
27/03/1998,159.08
03/04/1998,161.37
10/04/1998,160.42
17/04/1998,160.63
24/04/1998,160.06
01/05/1998,160.17
08/05/1998,160.03
15/05/1998,160.16
22/05/1998,160.74
29/05/1998,161.7
05/06/1998,161.67
12/06/1998,163.46
19/06/1998,162.93
26/06/1998,163.36
03/07/1998,164.01
10/07/1998,164.23
17/07/1998,163.39
24/07/1998,164.16
31/07/1998,163.93
07/08/1998,165.34
14/08/1998,165.61
21/08/1998,166.66
28/08/1998,169.07
04/09/1998,170.12
11/09/1998,172.35
18/09/1998,174.17
25/09/1998,175.46
02/10/1998,179.07
09/10/1998,173.27
16/10/1998,177.57
23/10/1998,175.02
30/10/1998,176.32
06/11/1998,172.28
13/11/1998,173.69
20/11/1998,173.96
27/11/1998,174.01
04/12/1998,176.26
11/12/1998,176.52
18/12/1998,176.87
25/12/1998,173.91
01/01/1999,176.12
08/01/1999,174.15
15/01/1999,175.8
22/01/1999,176.73
29/01/1999,176.89
05/02/1999,173.61
12/02/1999,172.46
19/02/1999,172.53
26/02/1999,170.73
05/03/1999,170.27
12/03/1999,171.97
19/03/1999,172.11
26/03/1999,171.72
02/04/1999,171.18
09/04/1999,174.16
16/04/1999,172.69
23/04/1999,172.67
30/04/1999,171.87
07/05/1999,170.2
14/05/1999,169.12
21/05/1999,169.96
28/05/1999,168.94
04/06/1999,167.3
11/06/1999,165.39
18/06/1999,167.54
25/06/1999,165.77
02/07/1999,168.01
09/07/1999,168.0
16/07/1999,169.82
23/07/1999,168.44
30/07/1999,167.75
06/08/1999,166.57
13/08/1999,166.83
20/08/1999,168.08
27/08/1999,168.66
03/09/1999,168.37
10/09/1999,168.52
17/09/1999,169.11
24/09/1999,170.61
01/10/1999,168.07
08/10/1999,167.83
15/10/1999,167.47
22/10/1999,166.47
29/10/1999,169.06
05/11/1999,170.41
12/11/1999,170.63
19/11/1999,169.47
26/11/1999,169.0
03/12/1999,168.81
10/12/1999,170.21
17/12/1999,167.85
24/12/1999,166.87
31/12/1999,166.74
07/01/2000,166.47
14/01/2000,165.21
21/01/2000,164.49
28/01/2000,165.88
04/02/2000,166.78
11/02/2000,165.27
18/02/2000,166.44
25/02/2000,168.11
03/03/2000,168.08
10/03/2000,168.07
17/03/2000,170.23
24/03/2000,170.11
31/03/2000,172.36
