Date,RF
19260702,0.0006
19260710,0.0006
19260717,0.0006
19260724,0.0006
19260731,0.0006
19260807,0.0006
19260814,0.0006
19260821,0.0006
19260828,0.0006
19260903,0.0006
19260911,0.0006
19260918,0.0006
19260925,0.0006
19261002,0.0008
19261009,0.0008
19261016,0.0008
19261023,0.0008
19261030,0.0008
19261106,0.0008
19261113,0.0008
19261120,0.0008
19261127,0.0008
19261204,0.0007
19261211,0.0007
19261218,0.0007
19261224,0.0007
19261231,0.0007
19270108,0.0006
19270115,0.0006
19270122,0.0006
19270129,0.0006
19270205,0.0006
19270211,0.0006
19270219,0.0006
19270226,0.0006
19270305,0.0007
19270312,0.0007
19270319,0.0007
19270326,0.0007
19270402,0.0006
19270409,0.0006
19270416,0.0006
19270423,0.0006
19270430,0.0006
19270507,0.0008
19270514,0.0008
19270521,0.0008
19270528,0.0008
19270604,0.0006
19270611,0.0006
19270618,0.0006
19270625,0.0006
19270702,0.0007
19270709,0.0007
19270716,0.0007
19270723,0.0007
19270730,0.0007
19270806,0.0007
19270813,0.0007
19270820,0.0007
19270827,0.0007
19270903,0.0005
19270910,0.0005
19270917,0.0005
19270924,0.0005
19271001,0.0006
19271008,0.0006
19271015,0.0006
19271022,0.0006
19271029,0.0006
19271105,0.0005
19271112,0.0005
19271119,0.0005
19271126,0.0005
19271203,0.0006
19271210,0.0006
19271217,0.0006
19271224,0.0006
19271231,0.0006
19280107,0.0006
19280114,0.0006
19280121,0.0006
19280128,0.0006
19280204,0.0008
19280211,0.0008
19280218,0.0008
19280225,0.0008
19280303,0.0007
19280310,0.0007
19280317,0.0007
19280324,0.0007
19280331,0.0007
19280405,0.0006
19280414,0.0006
19280420,0.0006
19280428,0.0006
19280504,0.0008
19280511,0.0008
19280518,0.0008
19280525,0.0008
19280602,0.0008
19280609,0.0008
19280616,0.0008
19280623,0.0008
19280630,0.0008
19280707,0.0008
19280714,0.0008
19280721,0.0008
19280728,0.0008
19280804,0.0008
19280811,0.0008
19280818,0.0008
19280825,0.0008
19280901,0.0007
19280908,0.0007
19280915,0.0007
19280922,0.0007
19280929,0.0007
19281006,0.001
19281013,0.001
19281020,0.001
19281027,0.001
19281103,0.001
19281110,0.001
19281117,0.001
19281123,0.001
19281201,0.0001
19281208,0.0001
19281215,0.0001
19281222,0.0001
19281229,0.0001
19290105,0.0009
19290112,0.0009
19290119,0.0009
19290126,0.0009
19290202,0.0009
19290208,0.0009
19290216,0.0009
19290221,0.0009
19290302,0.0009
19290309,0.0009
19290316,0.0009
19290323,0.0009
19290328,0.0009
19290406,0.0009
19290413,0.0009
19290420,0.0009
19290427,0.0009
19290504,0.0011
19290511,0.0011
19290518,0.0011
19290525,0.0011
19290601,0.0013
19290608,0.0013
19290615,0.0013
19290622,0.0013
19290629,0.0013
19290706,0.0008
19290713,0.0008
19290720,0.0008
19290727,0.0008
19290803,0.001
19290810,0.001
19290817,0.001
19290824,0.001
19290830,0.001
19290907,0.0009
19290914,0.0009
19290921,0.0009
19290928,0.0009
19291005,0.0011
19291011,0.0011
19291019,0.0011
19291026,0.0011
19291031,0.0011
19291108,0.0009
19291115,0.0009
19291122,0.0009
19291127,0.0009
19291207,0.0009
19291214,0.0009
19291221,0.0009
19291228,0.0009
19300104,0.0003
19300111,0.0003
