Date,LastPrice
1985-01-31,8.3680
1985-02-28,8.5390
1985-03-29,8.4510
1985-04-30,8.1180
1985-05-31,7.3020
1985-06-28,7.0080
1985-07-31,7.4840
1985-08-30,7.3560
1985-09-30,7.2760
1985-10-31,7.4190
1985-11-29,7.3760
1985-12-31,7.2430
1986-01-31,7.1760
1986-02-28,7.2290
1986-03-31,6.5100
1986-04-30,6.2560
1986-05-30,6.4840
1986-06-30,6.1540
1986-07-31,5.9100
1986-08-29,5.2750
1986-09-30,5.3190
1986-10-31,5.3260
1986-11-28,5.5240
1986-12-31,5.8070
1987-01-30,5.7530
1987-02-27,5.5860
1987-03-31,5.9230
1987-04-30,5.5450
1987-05-29,5.8230
1987-06-30,5.8690
1987-07-31,6.2300
1987-08-31,6.3890
1987-09-30,6.7860
1987-10-30,5.4000
1987-11-30,5.4520
1987-12-31,5.8490
1988-01-29,5.8000
1988-02-29,5.7650
1988-03-31,5.8540
1988-04-29,6.1670
1988-05-31,6.5930
1988-06-30,6.7570
1988-07-29,7.1290
1988-08-31,7.5030
1988-09-30,7.5220
1988-10-31,7.5790
1988-11-30,8.0610
1988-12-30,8.3580
1989-01-31,8.6550
1989-02-28,8.9730
1989-03-31,9.1840
1989-04-28,8.7720
1989-05-31,8.9080
1989-06-30,8.2340
1989-07-31,8.0420
1989-08-31,8.1550
1989-09-29,8.1710
1989-10-31,8.0320
1989-11-30,7.8390
1989-12-29,7.7790
1990-01-31,8.0090
1990-02-28,8.0300
1990-03-30,8.0440
1990-04-30,8.0320
1990-05-31,8.0180
1990-06-29,7.9920
1990-07-31,7.7260
1990-08-31,7.6110
1990-09-28,7.3500
1990-10-31,7.3350
1990-11-30,7.2600
1990-12-31,6.6350
1991-01-31,6.3800
1991-02-28,6.2610
1991-03-29,5.9330
1991-04-30,5.6870
1991-05-31,5.6930
1991-06-28,5.6930
1991-07-31,5.6760
1991-08-30,5.4840
1991-09-30,5.2540
1991-10-31,4.9650
1991-11-29,4.4640
1991-12-31,3.9580
1992-01-31,3.9350
1992-02-28,4.0170
1992-03-31,4.1440
1992-04-30,3.7710
1992-05-29,3.7700
1992-06-30,3.6480
1992-07-31,3.2440
1992-08-31,3.2230
1992-09-30,2.7410
1992-10-30,3.0070
1992-11-30,3.3360
1992-12-31,3.1410
1993-01-29,2.9660
1993-02-26,2.9970
