Date,LastPrice
1989-12-29,6.200
1990-01-31,7.420
1990-02-28,7.680
1990-03-30,8.160
1990-04-30,7.590
1990-05-31,7.330
1990-06-29,7.520
1990-07-31,7.530
1990-08-31,7.530
1990-09-28,7.070
1990-10-31,6.740
1990-11-30,6.760
1990-12-31,5.995
1991-01-31,5.850
1991-02-28,5.630
1991-03-29,5.990
1991-04-30,5.540
1991-05-31,5.130
1991-06-28,5.200
1991-07-31,5.570
1991-08-30,5.380
1991-09-30,5.070
1991-10-31,4.790
1991-11-29,4.110
1991-12-31,4.010
1992-01-31,3.590
1992-02-28,3.900
1992-03-31,4.100
1992-04-30,3.500
1992-05-29,3.645
1992-06-30,3.515
1992-07-31,3.095
1992-08-31,3.025
1992-09-30,2.695
1992-10-30,2.825
1992-11-30,2.725
1992-12-31,2.935
1993-01-29,2.865
1993-02-26,2.725
1993-03-31,2.805
1993-04-30,2.865
1993-05-31,2.965
1993-06-30,2.865
1993-07-30,2.915
1993-08-31,2.925
1993-09-30,2.760
1993-10-29,2.845
1993-11-30,2.820
1993-12-31,2.865
1994-01-31,2.865
1994-02-28,2.915
1994-03-31,3.325
1994-04-29,3.620
1994-05-31,3.820
1994-06-30,3.460
1994-07-29,3.960
1994-08-31,4.390
1994-09-30,4.490
1994-10-31,4.355
1994-11-30,4.915
1994-12-30,4.800
1995-01-31,5.290
1995-02-28,5.040
1995-03-31,5.800
1995-04-28,5.770
1995-05-31,5.670
1995-06-30,5.335
1995-07-31,5.475
1995-08-31,5.315
1995-09-29,5.415
1995-10-31,5.005
1995-11-30,5.455
1995-12-29,4.625
1996-01-31,4.845
1996-02-29,4.735
1996-03-29,5.245
1996-04-30,4.945
1996-05-31,5.085
1996-06-28,4.865
1996-07-31,5.035
1996-08-30,5.085
1996-09-30,4.995
1996-10-31,4.935
1996-11-29,4.915
1996-12-31,4.945
1997-01-31,4.985
1997-02-28,4.765
1997-03-31,5.095
1997-04-30,4.965
1997-05-30,4.755
1997-06-30,4.875
1997-07-31,5.125
1997-08-29,5.075
1997-09-30,4.795
1997-10-31,4.882
1997-11-28,4.948
1997-12-31,5.087
1998-01-30,4.916
1998-02-27,4.964
1998-03-31,5.331
1998-04-30,4.788
1998-05-29,4.619
1998-06-30,4.725
1998-07-31,4.794
1998-08-31,4.685
1998-09-30,4.328
1998-10-30,3.455
1998-11-30,3.635
1998-12-31,4.295
1999-01-29,4.342
1999-02-26,4.213
1999-03-31,4.631
1999-04-30,4.408
1999-05-31,4.322
1999-06-30,4.142
1999-07-30,4.341
1999-08-31,4.425
1999-09-30,4.328
1999-10-29,4.342
1999-11-30,4.515
1999-12-31,4.836
2000-01-31,5.278
2000-02-29,5.235
2000-03-31,5.783
2000-04-28,5.274
2000-05-31,4.576
2000-06-30,5.415
2000-07-31,5.794
2000-08-31,5.961
2000-09-29,5.765
2000-10-31,5.945
2000-11-30,5.829
2000-12-29,5.584
2001-01-31,4.695
2001-02-28,4.755
2001-03-30,4.446
2001-04-30,3.746
2001-05-31,3.324
2001-06-29,3.312
2001-07-31,3.595
2001-08-31,2.744
2001-09-28,2.351
2001-10-31,2.109
2001-11-30,1.775
2001-12-31,1.648
2002-01-31,1.678
2002-02-28,1.729
2002-03-29,1.709
2002-04-30,1.735
2002-05-31,1.678
2002-06-28,1.646
2002-07-31,1.682
2002-08-30,1.662
2002-09-30,1.576
2002-10-31,1.447
2002-11-29,1.208
2002-12-31,1.155
2003-01-31,1.135
2003-02-28,1.171
2003-03-31,1.125
2003-04-30,1.047
2003-05-30,1.128
2003-06-30,0.785
2003-07-31,0.876
2003-08-29,0.951
2003-09-30,0.845
2003-10-31,0.922
2003-11-28,0.921
2003-12-31,0.866
2004-01-30,0.821
2004-02-27,0.921
2004-03-31,0.932
2004-04-30,0.805
2004-05-31,0.902
2004-06-30,1.126
2004-07-30,1.244
2004-08-31,1.375
2004-09-30,1.442
2004-10-29,1.705
2004-11-30,2.005
2004-12-31,1.842
2005-01-31,2.102
2005-02-28,2.454
2005-03-31,2.569
2005-04-29,2.648
2005-05-31,2.740
2005-06-30,2.935
2005-07-29,3.175
2005-08-31,3.315
2005-09-30,3.085
2005-10-31,3.625
2005-11-30,3.888
2005-12-30,3.915
2006-01-31,4.305
2006-02-28,4.370
2006-03-31,4.535
2006-04-28,4.522
2006-05-31,4.655
2006-06-30,4.485
2006-07-31,4.905
2006-08-31,4.985
2006-09-29,4.525
2006-10-31,5.085
2006-11-30,5.059
2006-12-29,4.662
2007-01-31,4.895
2007-02-28,5.124
2007-03-30,4.961
2007-04-30,4.675
2007-05-31,4.649
2007-06-29,4.285
2007-07-31,4.995
2007-08-31,4.034
2007-09-28,3.319
2007-10-31,3.916
2007-11-30,3.395
2007-12-31,2.815
2008-01-31,1.595
2008-02-29,2.061
2008-03-31,0.499
2008-04-30,1.175
2008-05-30,1.938
2008-06-30,1.668
2008-07-31,1.515
2008-08-29,1.606
2008-09-30,0.755
2008-10-31,0.148
2008-11-28,0.015
2008-12-31,0.015
2009-01-30,0.149
2009-02-27,0.154
2009-03-31,0.145
2009-04-30,0.042
2009-05-29,0.114
2009-06-30,0.155
2009-07-31,0.125
2009-08-31,0.096
2009-09-30,0.052
2009-10-30,0.018
2009-11-30,0.032
2009-12-31,0.035
2010-01-29,0.015
2010-02-26,0.075
2010-03-31,0.144
2010-04-30,0.135
2010-05-31,0.141
2010-06-30,0.156
2010-07-30,0.145
2010-08-31,0.155
2010-09-30,0.135
2010-10-29,0.131
2010-11-30,0.165
2010-12-31,0.068
2011-01-31,0.144
2011-02-28,0.089
2011-03-31,0.045
2011-04-29,0.015
2011-05-31,0.045
2011-06-30,0.012
2011-07-29,0.125
2011-08-31,0.004
2011-09-30,0.005
2011-10-31,-0.003
2011-11-30,0.011
2011-12-30,-0.005
2012-01-31,0.035
2012-02-29,0.072
2012-03-30,0.027
2012-04-30,0.072
2012-05-31,0.025
2012-06-29,0.045
2012-07-31,0.055
2012-08-31,0.075
2012-09-28,0.045
2012-10-31,0.085
2012-11-30,0.075
2012-12-31,0.019
2013-01-31,0.038
2013-02-28,0.093
2013-03-29,0.029
2013-04-30,0.015
2013-05-31,0.017
2013-06-28,0.010
2013-07-31,0.014
2013-08-30,0.011
2013-09-30,0.029
2013-10-31,0.044
2013-11-29,0.036
2013-12-31,0.010
2014-01-31,0.039
2014-02-28,0.036
2014-03-31,0.016
2014-04-30,0.014
2014-05-30,0.034
2014-06-30,0.014
2014-07-31,0.000
2014-08-29,0.011
2014-09-30,0.010
2014-10-31,0.000
2014-11-28,0.025
2014-12-31,0.014
2015-01-30,0.011
2015-02-27,0.018
2015-03-31,0.035
2015-04-30,-0.009
2015-05-29,0.000
2015-06-30,0.015
2015-07-31,0.028
2015-08-31,-0.014
2015-09-30,-0.024
2015-10-30,0.004
2015-11-30,0.120
2015-12-31,0.106
2016-01-29,0.222
2016-02-29,0.232
2016-03-31,0.134
2016-04-29,0.139
2016-05-31,0.225
2016-06-30,0.184
2016-07-29,0.184
2016-08-31,0.264
2016-09-30,0.183
2016-10-31,0.160
2016-11-30,0.347
2016-12-30,0.408
2017-01-31,0.465
2017-02-28,0.390
2017-03-31,0.696
2017-04-28,0.664
2017-05-31,0.832
2017-06-30,0.831
2017-07-31,0.965
2017-08-31,0.946
2017-09-29,0.937
2017-10-31,0.999
2017-11-30,1.104
2017-12-29,1.223
2018-01-31,1.352
2018-02-28,1.475
2018-03-30,1.599
2018-04-30,1.623
2018-05-31,1.739
2018-06-29,1.748
2018-07-31,1.894
2018-08-31,1.931
2018-09-28,2.112
2018-10-31,2.191
2018-11-30,2.304
2018-12-31,2.429
2019-01-31,2.394
2019-02-28,2.408
2019-03-29,2.426
2019-04-30,2.423
2019-05-31,2.330
2019-06-28,2.131
2019-07-31,1.987
2019-08-30,2.088
2019-09-30,1.871
2019-10-31,1.552
2019-11-29,1.617
2019-12-31,1.453
2020-01-31,1.543
2020-02-28,1.459
2020-03-31,0.018
2020-04-30,0.077
2020-05-29,0.114
2020-06-30,0.124
2020-07-31,0.087
2020-08-31,0.087
2020-09-30,0.077
2020-10-30,0.081
2020-11-30,0.079
2020-12-31,0.043
2021-01-29,0.047
2021-02-26,0.030
2021-03-31,0.003
2021-04-30,0.004
2021-05-31,0.000
2021-06-30,0.047
2021-07-30,0.037
2021-08-31,0.030
2021-09-30,0.060
2021-10-29,0.051
2021-11-30,0.104
2021-12-31,0.028
2022-01-31,0.034
2022-02-28,0.057
2022-03-31,0.120
2022-04-29,0.336
2022-05-31,0.715
2022-06-30,1.021
2022-07-29,2.149
2022-08-31,2.286
2022-09-30,2.689
2022-10-31,3.622
2022-11-30,3.959
2022-12-30,3.999
2023-01-31,4.521
2023-02-28,4.591
2023-03-31,4.589
2023-04-28,4.240
2023-05-31,5.136
2023-06-30,5.141
2023-07-31,5.367
2023-08-31,5.381
2023-09-29,5.368
2023-10-31,5.397
2023-11-30,5.383
2023-12-29,5.403
2024-01-31,5.369
2024-02-29,5.397
2024-03-29,5.367
2024-04-30,5.377
2024-05-31,5.357
2024-06-28,5.325
2024-07-31,5.373
2024-08-30,5.267
2024-09-30,4.824
2024-10-31,4.676
2024-11-29,4.616
2024-12-31,4.280
2025-01-31,4.312
2025-02-28,4.307
2025-03-31,4.306
2025-04-30,4.294
2025-05-30,4.275
2025-06-30,4.215
2025-07-31,4.360
2025-08-29,4.321
2025-09-30,4.110
2025-10-31,3.944
2025-11-28,3.927
2025-12-31,3.596
2026-01-30,3.676
2026-02-27,3.677
