Date,Price
1975-12-31,140.25
1976-01-30,128.15
1976-02-27,132.30
1976-03-31,129.60
1976-04-30,128.40
1976-05-31,125.50
1976-06-30,123.80
1976-07-30,112.50
1976-08-31,104.00
1976-09-30,116.00
1976-10-29,123.15
1976-11-30,130.25
1976-12-31,134.50
1977-01-31,132.30
1977-02-28,142.75
1977-03-31,148.90
1977-04-29,147.25
1977-05-31,142.95
1977-06-30,143.00
1977-07-29,144.10
1977-08-31,146.00
1977-09-30,154.05
1977-10-31,161.50
1977-11-30,160.05
1977-12-30,164.95
1978-01-31,175.75
1978-02-28,182.25
1978-03-31,181.60
1978-04-28,170.85
1978-05-31,184.15
1978-06-30,183.05
1978-07-31,200.25
1978-08-31,208.70
1978-09-29,217.10
1978-10-31,242.60
1978-11-30,193.40
1978-12-29,226.00
1979-01-31,233.70
1979-02-28,251.30
1979-03-30,240.10
1979-04-30,245.30
1979-05-31,274.60
1979-06-29,277.50
1979-07-31,296.45
1979-08-31,315.10
1979-09-28,397.25
1979-10-31,382.00
1979-11-30,415.65
1979-12-31,512.00
1980-01-31,653.00
1980-02-29,637.00
1980-03-31,494.50
1980-04-30,518.00
1980-05-30,535.50
1980-06-30,653.50
1980-07-31,614.25
1980-08-29,631.25
1980-09-30,666.75
1980-10-31,629.00
1980-11-28,619.75
1980-12-31,589.75
1981-01-30,506.50
1981-02-27,489.00
1981-03-31,513.75
1981-04-30,482.75
1981-05-29,479.25
1981-06-30,426.00
1981-07-31,406.00
1981-08-31,425.50
1981-09-30,428.75
1981-10-30,427.00
1981-11-30,414.50
1981-12-31,397.50
1982-01-29,387.00
1982-02-26,362.60
1982-03-31,320.00
1982-04-30,361.25
1982-05-31,325.25
1982-06-30,317.50
1982-07-30,342.90
1982-08-31,411.50
1982-09-30,397.00
1982-10-29,423.25
1982-11-30,436.00
1982-12-31,456.90
1983-01-31,499.50
1983-02-28,408.50
1983-03-31,414.75
1983-04-29,429.25
1983-05-31,437.50
1983-06-30,416.00
1983-07-29,422.00
1983-08-31,414.25
1983-09-30,405.00
1983-10-31,382.00
1983-11-30,405.00
1983-12-30,382.40
1984-01-31,373.75
1984-02-29,394.25
1984-03-30,388.50
1984-04-30,375.80
1984-05-31,384.25
1984-06-29,373.05
1984-07-31,342.35
1984-08-31,348.25
1984-09-28,343.75
1984-10-31,333.50
1984-11-30,329.00
1984-12-31,309.00
