Date,LastPrice
1997-07-04,147.62
1997-07-11,148.4
1997-07-18,148.51
1997-07-25,149.27
1997-08-01,149.29
1997-08-08,147.85
1997-08-15,148.9
1997-08-22,148.17
1997-08-29,148.68
1997-09-05,148.63
1997-09-12,149.43
1997-09-19,151.33
1997-09-26,151.5
1997-10-03,152.39
1997-10-10,151.24
1997-10-17,151.25
1997-10-24,152.8
1997-10-31,154.52
1997-11-07,154.15
1997-11-14,154.65
1997-11-21,155.29
1997-11-28,155.16
1997-12-05,154.81
1997-12-12,156.48
1997-12-19,156.85
1997-12-26,156.79
1998-01-02,157.64
1998-01-09,160.57
1998-01-16,159.4
1998-01-23,158.05
1998-01-30,159.85
1998-02-06,159.11
1998-02-13,159.95
1998-02-20,159.76
1998-02-27,159.04
1998-03-06,158.15
1998-03-13,159.73
1998-03-20,160.0
1998-03-27,159.08
1998-04-03,161.37
1998-04-10,160.42
1998-04-17,160.63
1998-04-24,160.06
1998-05-01,160.17
1998-05-08,160.03
1998-05-15,160.16
1998-05-22,160.74
1998-05-29,161.7
1998-06-05,161.67
1998-06-12,163.46
1998-06-19,162.93
1998-06-26,163.36
1998-07-03,164.01
1998-07-10,164.23
1998-07-17,163.39
1998-07-24,164.16
1998-07-31,163.93
1998-08-07,165.34
1998-08-14,165.61
1998-08-21,166.66
1998-08-28,169.07
1998-09-04,170.12
1998-09-11,172.35
1998-09-18,174.17
1998-09-25,175.46
1998-10-02,179.07
1998-10-09,173.27
1998-10-16,177.57
1998-10-23,175.02
1998-10-30,176.32
1998-11-06,172.28
1998-11-13,173.69
1998-11-20,173.96
1998-11-27,174.01
1998-12-04,176.26
1998-12-11,176.52
1998-12-18,176.87
1998-12-25,173.91
1999-01-01,176.12
1999-01-08,174.15
1999-01-15,175.8
1999-01-22,176.73
1999-01-29,176.89
1999-02-05,173.61
1999-02-12,172.46
1999-02-19,172.53
1999-02-26,170.73
1999-03-05,170.27
1999-03-12,171.97
1999-03-19,172.11
1999-03-26,171.72
1999-04-02,171.18
1999-04-09,174.16
1999-04-16,172.69
1999-04-23,172.67
1999-04-30,171.87
1999-05-07,170.2
1999-05-14,169.12
1999-05-21,169.96
1999-05-28,168.94
1999-06-04,167.3
1999-06-11,165.39
1999-06-18,167.54
1999-06-25,165.77
1999-07-02,168.01
1999-07-09,168.0
1999-07-16,169.82
1999-07-23,168.44
1999-07-30,167.75
1999-08-06,166.57
1999-08-13,166.83
1999-08-20,168.08
1999-08-27,168.66
1999-09-03,168.37
1999-09-10,168.52
1999-09-17,169.11
1999-09-24,170.61
1999-10-01,168.07
1999-10-08,167.83
1999-10-15,167.47
1999-10-22,166.47
1999-10-29,169.06
1999-11-05,170.41
1999-11-12,170.63
1999-11-19,169.47
1999-11-26,169.0
1999-12-03,168.81
1999-12-10,170.21
1999-12-17,167.85
1999-12-24,166.87
1999-12-31,166.74
2000-01-07,166.47
2000-01-14,165.21
2000-01-21,164.49
2000-01-28,165.88
2000-02-04,166.78
2000-02-11,165.27
2000-02-18,166.44
2000-02-25,168.11
2000-03-03,168.08
2000-03-10,168.07
2000-03-17,170.23
2000-03-24,170.11
2000-03-31,172.36
2000-04-07,174.18
2000-04-14,173.88
2000-04-21,173.36
2000-04-28,171.31
2000-05-05,168.72
2000-05-12,168.9
2000-05-19,169.1
2000-05-26,171.39
2000-06-02,173.4
2000-06-09,173.84
2000-06-16,175.58
2000-06-23,173.51
2000-06-30,175.52
2000-07-07,176.21
2000-07-14,175.35
2000-07-21,176.77
2000-07-28,176.7
2000-08-04,178.39
2000-08-11,178.33
2000-08-18,178.68
2000-08-25,179.55
2000-09-01,180.36
2000-09-08,180.04
2000-09-15,179.4
2000-09-22,179.79
2000-09-29,180.61
2000-10-06,180.7
2000-10-13,182.09
2000-10-20,183.31
2000-10-27,182.67
2000-11-03,181.72
2000-11-10,182.35
2000-11-17,183.62
2000-11-24,184.54
2000-12-01,186.14
2000-12-08,188.18
2000-12-15,190.29
2000-12-22,192.38
2000-12-29,191.31
2001-01-05,193.94
2001-01-12,190.82
2001-01-19,192.1
2001-01-26,191.24
2001-02-02,192.98
2001-02-09,193.45
2001-02-16,192.68
2001-02-23,193.22
2001-03-02,194.83
2001-03-09,195.27
2001-03-16,197.49
2001-03-23,197.55
2001-03-30,196.57
2001-04-06,197.55
2001-04-13,194.4
2001-04-20,193.68
2001-04-27,193.3
2001-05-04,195.23
2001-05-11,192.22
2001-05-18,193.1
2001-05-25,192.28
2001-06-01,194.01
2001-06-08,194.33
2001-06-15,196.03
2001-06-22,197.71
2001-06-29,194.56
2001-07-06,195.16
2001-07-13,196.96
2001-07-20,198.64
2001-07-27,199.24
2001-08-03,198.78
2001-08-10,200.39
2001-08-17,201.97
2001-08-24,201.32
2001-08-31,202.68
2001-09-07,203.3
2001-09-14,207.26
2001-09-21,206.06
2001-09-28,207.7
2001-10-05,208.96
2001-10-12,207.33
2001-10-19,208.18
2001-10-26,209.51
2001-11-02,211.69
2001-11-09,212.48
2001-11-16,204.86
